Year,Pick,Draft,Pick in Draft,Drafted By,Name,Height,Weight,College,Birthday
2016,1.01,1,1,76ers,Ben Simmons,6'10,239,LSU,1996-07-20
2016,1.02,1,2,Lakers,Brandon Ingram,6'9,196,Duke,1997-09-02
2016,1.03,1,3,Celtics,Jaylen Brown,6'7,223,California,1996-10-24
2016,1.04,1,4,Suns,Dragan Bender,7'1,225,Maccabi Tel Aviv,1997-11-17
2016,1.05,1,5,Timberwolves,Kris Dunn,6'4,205,Providence,1994-03-18
2016,1.06,1,6,Hornets,Buddy Hield,6'5,212,Oklahoma,1993-12-17
2016,1.07,1,7,Nuggets,Jamal Murray,6'5,201,Kentucky,1997-02-23
2016,1.08,1,8,Suns,Marquese Chriss,6'10,233,Washington,1997-07-02
2016,1.09,1,9,Raptors,Jakob Poeltl,7'1,239,Utah,1995-10-15
2016,1.1,1,10,Bucks,Thon Maker,7'1,216,,1997-02-25
2016,1.11,1,11,Magic,Domantas Sabonis,6'10,231,Gonzaga,1996-05-03
2016,1.12,1,12,Hawks,Taurean Prince,6'8,220,Baylor,1994-08-22
2016,1.13,1,13,Kings,Georgios Papagiannis,7'2,240,Panathinaikos,1997-07-03
2016,1.14,1,14,Bulls,Denzel Valentine,6'6,210,Michigan St,1993-11-16
2016,1.15,1,15,Nuggets,Juan Hernangomez,6'9,220,Estudiantes,1995-09-28
2016,1.16,1,16,Celtics,Guerschon Yabusele,6'8,270,Rouen,1995-12-17
2016,1.17,1,17,Grizzlies,Wade Baldwin,6'4,202,Vanderbilt,1996-03-29
2016,1.18,1,18,Pistons,Henry Ellenson,7'0,242,Marquette,1997-01-13
2016,1.19,1,19,Nuggets,Malik Beasley,6'5,190,Florida St,1996-11-26
2016,1.2,1,20,Nets,Caris LeVert,6'7,191,Michigan,1994-08-25
2016,1.21,1,21,Hawks,DeAndre Bembry,6'6,207,Saint Joseph's,1994-07-04
2016,1.22,1,22,Kings,Malachi Richardson,6'6,200,Syracuse,1996-01-05
2016,1.23,1,23,Celtics,Ante Zizic,7'0,249,Cibona Zagreb,1997-01-04
2016,1.24,1,24,76ers,Timothe Luwawu,6'7,205,Mega Leks,1995-05-09
2016,1.25,1,25,Clippers,Brice Johnson,6'11,209,North Carolina,1994-06-27
2016,1.26,1,26,76ers,Furkan Korkmaz,6'7,185,Anadolu Efes,1997-07-24
2016,1.27,1,27,Raptors,Pascal Siakam,6'10,227,New Mexico St,1994-02-04
2016,1.28,1,28,Kings,Skal Labissiere,7'0,216,Kentucky,1996-03-18
2016,1.29,1,29,Spurs,Dejounte Murray,6'5,170,Washington,1996-09-19
2016,1.3,1,30,Warriors,Damian Jones,7'0,244,Vanderbilt,1995-06-30
2016,2.01,2,1,Grizzlies,Deyonta Davis,6'11,237,Michigan St,1996-12-02
2016,2.02,2,2,Lakers,Ivica Zubac,7'1,265,Mega Leks,1997-03-18
2016,2.03,2,3,Pelicans,Cheick Diallo,6'9,219,Kansas,1996-09-13
2016,2.04,2,4,Suns,Tyler Ulis,5'10,149,Kentucky,1996-01-05
2016,2.05,2,5,Grizzlies,Rade Zagorac,6'9,205,Mega Leks,1995-08-12
2016,2.06,2,6,Bucks,Malcolm Brogdon,6'6,223,Virginia,1992-12-11
2016,2.07,2,7,Rockets,Chinanu Onuaku,6'10,245,Louisville,1996-11-01
2016,2.08,2,8,Warriors,Patrick McCaw,6'7,181,UNLV,1995-10-25
2016,2.09,2,9,Clippers,David Michineau,6'4,180,Chalon,1994-06-06
2016,2.1,2,10,Clippers,Diamond Stone,6'10,254,Maryland,1997-02-10
2016,2.11,2,11,Magic,Stephen Zimmerman,7'0,234,UNLV,1996-09-09
2016,2.12,2,12,Nets,Isaiah Whitehead,6'5,210,Seton Hall,1995-03-08
2016,2.13,2,13,Rockets,Zhou Qi,7'2,218,Xinjiang,1996-01-16
2016,2.14,2,14,Hawks,Isaia Cordinier,6'5,177,Denain,1996-11-28
2016,2.15,2,15,Celtics,Demetrius Jackson,6'2,194,Notre Dame,1994-09-07
2016,2.16,2,16,Mavericks,A.J. Hammons,7'0,278,Purdue,1992-08-27
2016,2.17,2,17,Trailblazers,Jake Layman,6'9,209,Maryland,1994-03-07
2016,2.18,2,18,Bulls,Paul Zipser,6'8,210,Bayern Muenchen,1994-02-18
2016,2.19,2,19,Pistons,Michael Gbinije,6'7,205,Syracuse,1992-06-05
2016,2.2,2,20,Pacers,Georges Niang,6'9,231,Iowa St,1993-06-17
2016,2.21,2,21,Celtics,Ben Bentil,6'8,229,Providence,1995-03-29
2016,2.22,2,22,Jazz,Joel Bolomboy,6'9,224,Weber St,1994-01-28
2016,2.23,2,23,Nuggets,Petr Cornelie,6'11,220,Le Mans,1995-07-26
2016,2.24,2,24,Cavaliers,Kay Felder,5'10,177,Oakland,1995-03-29
2016,2.25,2,25,Jazz,Marcus Paige,6'2,164,North Carolina,1993-09-11
2016,2.26,2,26,Thunder,Daniel Hamilton,6'8,197,Connecticut,1995-08-08
2016,2.27,2,27,Grizzlies,Wang Zhelin,7'0,251,Fujian,1994-01-20
2016,2.28,2,28,Celtics,Abdel Nader,6'6,221,Iowa St,1993-09-25
2016,2.29,2,29,Kings,Isaiah Cousins,6'6,191,Oklahoma,1994-03-13
2016,2.3,2,30,Jazz,Tyrone Wallace,6'6,198,California,1994-06-10
2015,1.01,1,1,Timberwolves,Karl Towns,7'0,248,Kentucky,1995-11-15
