PLAYER,TEAM,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,Player Efficiency Rating (PER),VA,EWA
Russell Westbrook,OKC,56,34.6,0.542,22.9,12.4,42.4,5.8,27.4,16.7,29.19,526,17.5
Kawhi Leonard,SA,50,33.7,0.62,12.8,8,29.3,4.1,15.5,10,28.25,445.8,14.9
Isaiah Thomas,BOS,51,34.5,0.627,19.4,8,33.1,1.8,6.8,4.3,27.76,440.8,14.7
Anthony Davis,NO,52,36.3,0.581,7.7,9.1,29.8,6.5,28.6,17.4,27.68,456.1,15.2
Kevin Durant,GS,55,34.2,0.651,17.9,8.6,26.7,2.2,23,13.4,27.53,477.7,15.9
James Harden,HOU,57,36.5,0.614,27.6,14.4,35.4,3.5,21.3,12.4,27.47,527.2,17.6
Chris Paul,LAC,36,30.9,0.611,36.7,9.1,25.8,2.6,16,9.5,27.31,270.7,9
Nikola Jokic,DEN,48,26.8,0.652,23,11,23.5,12.8,24.2,18.5,27.01,297.4,9.9
DeMarcus Cousins,SAC,53,34.6,0.562,14.3,11.2,35.5,7.2,29.1,18.1,26.61,413.5,13.8
Giannis Antetokounmpo,MIL,53,35.4,0.606,19.9,11,27.5,6.3,21.4,14,26.6,450.2,15
LeBron James,CLE,50,37.6,0.61,25.7,12.4,30,3.7,18.6,11.4,26.15,439,14.6
Jimmy Butler,CHI,49,36.5,0.59,17.3,7.6,27.2,4.9,14.3,9.5,25.59,403,13.4
DeMar DeRozan,TOR,48,35.5,0.554,12.1,7.4,32.7,3.1,13.9,8.5,24.82,364.6,12.2
Karl-Anthony Towns,MIN,55,36.4,0.595,11.4,10.5,26.4,10.9,27.1,18.9,24.53,416.1,13.9
Enes Kanter,OKC,47,21.6,0.615,7.1,11.3,24.8,13.3,20.9,17.2,24.47,210,7
Joel Embiid,PHI,31,25.4,0.585,9.2,16.3,33.8,8.5,25.5,17,24.36,161.4,5.4
Stephen Curry,GS,54,33.5,0.631,21.9,9.8,28.3,2.1,11.2,7,24.21,356.6,11.9
Blake Griffin,LAC,35,33.4,0.556,18.1,8.7,28.5,7.5,21.6,14.7,23.95,217.1,7.2
JaVale McGee,GS,50,9.4,0.657,4,11.3,21.9,13.5,19.9,16.9,23.72,91.8,3.1
Louis Williams,LAL,56,24.2,0.605,15.3,10.2,29.8,1,9.6,5.2,23.48,262.2,8.7
Kyle Lowry,TOR,54,37.6,0.627,24.9,10.1,25.1,2.6,11.6,7.1,23.31,373.6,12.5
John Wall,WSH,52,36.6,0.541,29.5,11.7,31.4,2.6,10.9,6.8,23.17,345.5,11.5
Gordon Hayward,UTAH,49,34.7,0.603,14.3,8.1,26.2,2.1,16.1,9.3,22.95,315.6,10.5
Damian Lillard,POR,50,35.9,0.577,18.7,8.5,29.8,2,13.2,7.5,22.51,308.8,10.3
Mike Conley,MEM,45,32.7,0.587,25,9,26.4,1.9,10.8,6.2,22.45,251.3,8.4
Greg Monroe,MIL,53,21.6,0.574,15.8,11.4,22.7,10.7,24.9,17.9,22.18,197.8,6.6
Rudy Gobert,UTAH,56,33.5,0.669,8.3,14.3,14.9,13.8,29.3,21.8,22.14,323.4,10.8
Dwight Howard,ATL,50,29.6,0.642,9,15.1,17.6,16.1,31.8,24.1,22.05,253,8.4
Kevin Love,CLE,46,31.9,0.583,9,10,24.9,8.9,28.9,19.1,21.99,229.5,7.7
Kyrie Irving,CLE,47,35.2,0.571,19.5,9.2,29.5,2.5,7.5,5,21.69,263.7,8.8
Marc Gasol,MEM,54,34.4,0.566,17.2,8.7,26.4,2.6,18.1,10.1,21.58,304.1,10.1
Andre Drummond,DET,55,30.7,0.525,5.9,12.2,21.9,14.5,36.3,25.1,21.48,273.9,9.1
Hassan Whiteside,MIA,51,32.9,0.569,3.7,12.1,20.8,11.8,35.3,23.5,21.36,269.9,9
Eric Bledsoe,PHX,55,33.2,0.567,21.5,11.6,28.4,2.8,13.8,8.1,21.23,278.8,9.3
Clint Capela,HOU,42,23.4,0.634,7.8,10.9,18.2,11.4,24.5,18,20.96,152.1,5.1
Nerlens Noel,PHI,28,19,0.628,11.1,10.3,16.7,8.9,19.5,14.2,20.94,75.1,2.5
Kyle O'Quinn,NY,54,15.4,0.561,15.8,11.8,18.5,14,24.9,19.5,20.93,127.8,4.3
DeAndre Jordan,LAC,55,31.3,0.663,9.8,13,14.2,12.8,35,24.3,20.9,264.6,8.8
Kenneth Faried,DEN,47,22.3,0.608,8.9,10,16.6,15.7,24.3,20,20.83,145.9,4.9
Brook Lopez,BKN,50,29.5,0.574,11.2,10.6,27.3,5.7,12.7,9.3,20.8,224.4,7.5
C.J. McCollum,POR,55,34.7,0.593,14.1,8.8,26.6,2.6,9.3,5.9,20.8,293.5,9.8
Kemba Walker,CHA,54,34.1,0.564,19.6,8.3,28,2,10.9,6.5,20.71,266.9,8.9
George Hill,UTAH,31,31.6,0.595,19.9,6.9,23.3,2.2,10,6.2,20.38,137.2,4.6
Marreese Speights,LAC,55,16.6,0.601,8.8,7.4,22.5,8,23.3,15.9,20.14,129.7,4.3
Dwyane Wade,CHI,48,30.4,0.51,15.5,8.9,29.7,3.8,12.3,8,19.86,203.7,6.8
Jeff Teague,IND,55,32.6,0.578,33.3,11.5,23.1,1.5,12.4,7.1,19.86,237.3,7.9
Bradley Beal,WSH,50,34.4,0.598,15,8.4,25.4,2,7.5,4.8,19.71,236.5,7.9
Montrezl Harrell,HOU,45,19.4,0.659,13.2,9.4,17.1,8.8,13.4,11.1,19.52,104.7,3.5
Myles Turner,IND,54,30.8,0.6,7.4,8.8,19.1,5.7,20.2,13.1,19.44,219.3,7.3
Goran Dragic,MIA,48,34.3,0.583,23.3,11.9,26.7,2.4,10.2,6.3,19.41,206.7,6.9
Carmelo Anthony,NY,55,34,0.543,11.1,7.6,28.6,2.7,16.5,9.6,19.3,245.5,8.2
Jonas Valanciunas,TOR,53,27.2,0.588,5.9,11.1,18.2,12,29,20.4,19.27,186.3,6.2
Al Jefferson,IND,55,14.7,0.532,9.3,5.4,23.9,9.2,23.1,16.2,19.25,104.1,3.5
Zach Randolph,MEM,49,24.3,0.496,9.9,7.4,27.4,11.1,28,19.3,19.14,135.8,4.5
Paul George,IND,48,35.7,0.578,12.9,11.2,26.3,2.7,16.3,9.6,19.12,220.2,7.3
Dwight Powell,DAL,55,18.6,0.597,11.2,5.2,14.6,8.4,19.8,13.8,19.12,116.5,3.9
Jabari Parker,MIL,51,33.9,0.563,12.4,8.1,24.6,5.4,15.3,10.4,19.06,195,6.5
Pau Gasol,SA,39,26.4,0.558,18.8,8.7,19.6,6.7,26.8,17.1,18.96,128.4,4.3
David Lee,SA,54,18.6,0.617,18.8,11.5,16.6,11.5,22.5,17.2,18.96,112,3.7
Mason Plumlee,POR,54,28.1,0.552,25.4,10.4,18.3,8.6,23.1,15.8,18.82,185.9,6.2
Willy Hernangomez,NY,48,15.3,0.58,13.3,14.9,18.6,13.3,27.4,20.3,18.76,89.6,3
Nikola Vucevic,ORL,54,28.5,0.499,15.6,8.9,23.3,8.3,30.7,19.3,18.72,186.6,6.2
Paul Millsap,ATL,52,34.3,0.54,16.7,9.5,23.4,5.6,19.9,12.9,18.7,191.5,6.4
LaMarcus Aldridge,SA,50,32.4,0.537,10.5,7.3,23.1,8.3,17.3,12.9,18.62,172.2,5.7
Jrue Holiday,NO,41,32.3,0.548,29.4,12.2,24.9,2.4,10.6,6.5,18.38,146,4.9
Rudy Gay,SAC,30,33.8,0.559,12.6,11.2,24.4,4,17.9,11,18.08,114.6,3.8
Al Horford,BOS,43,33.1,0.543,24.7,8.3,20.6,4.7,18.1,11.4,18.02,157.7,5.3
Brandon Bass,LAC,36,11.9,0.664,9.6,12.2,17.2,6.9,14.5,10.8,17.9,41,1.4
Otto Porter Jr.,WSH,54,33.8,0.649,11.6,5.5,14.6,4.5,17.6,11.1,17.89,201.4,6.7
Serge Ibaka,ORL,56,30.5,0.569,6.8,7.6,19.5,6.3,18.5,12.3,17.67,157.4,5.2
Kristaps Porzingis,NY,48,33.1,0.553,6.7,8.9,22.8,5.5,17.5,11.5,17.61,144.7,4.8
Willie Reed,MIA,47,14.6,0.575,6.4,7.2,14.1,13.5,22.2,17.8,17.53,61.8,2.1
Harrison Barnes,DAL,55,35.8,0.541,7.1,6,24.1,3.9,13.7,8.6,17.44,204,6.8
J.J. Barea,DAL,18,24.7,0.53,27.3,9.5,25.4,1.3,13.1,6.9,17.38,42.3,1.4
Draymond Green,GS,52,33.3,0.534,38.1,12,16.7,5,21.4,13.8,17.36,151.1,5
Cody Zeller,CHA,39,26.8,0.621,12.6,11,15.6,9.3,16.7,13,17.23,103.3,3.4
Dewayne Dedmon,SA,49,17.1,0.644,10.4,12.7,11.8,11.1,31.3,21.5,17.12,81.3,2.7
Steven Adams,OKC,54,30.8,0.602,8.4,15.1,16,12.5,15.9,14.2,17.12,161.8,5.4
Nene ,HOU,47,17,0.631,10.5,14,18,7.5,17,12.3,17.11,77.8,2.6
Michael Beasley,MIL,46,16.7,0.579,10.4,12.4,23,5,19.1,12.2,17.09,75.7,2.5
James Johnson,MIA,51,26.5,0.581,20.3,13.8,21.3,3.6,16.9,10.2,17.04,111.5,3.7
Tyson Chandler,PHX,46,27.8,0.703,8.1,17.5,10.7,12.7,34,23,16.78,117.8,3.9
Jeremy Lamb,CHA,35,17.3,0.53,10.7,5.9,22.8,3,24.5,13.8,16.67,55.7,1.9
Tyreke Evans,NO,25,17.9,0.497,23.6,9.8,27.4,1.4,17.8,9.5,16.67,41.2,1.4
Lucas Nogueira,TOR,46,21.7,0.702,15.5,14.7,9.2,9.1,16.5,12.8,16.67,90.2,3
Dirk Nowitzki,DAL,29,25.8,0.512,9.9,5.7,23.9,2.1,25.7,13.3,16.64,57.4,1.9
Dennis Schroder,ATL,55,30.9,0.543,24.6,12.1,27.4,1.8,8.4,5.1,16.6,142.1,4.7
Klay Thompson,GS,53,34.2,0.592,9,8.2,23.5,2.3,9.3,6.1,16.59,164.7,5.5
Tobias Harris,DET,56,31.8,0.573,9.5,7.5,20.6,1.8,16.5,8.9,16.58,161.5,5.4
David West,GS,42,11.5,0.582,31.3,15.1,17.5,6.4,18.7,13,16.57,36.6,1.2
Marcin Gortat,WSH,54,34.5,0.613,12.6,11.9,13.7,10.8,26.4,18.7,16.43,162,5.4
Willie Cauley-Stein,SAC,48,12.7,0.585,9,9,17.6,8.1,16,12,16.37,52.4,1.7
Andrew Wiggins,MIN,55,37.1,0.538,9.7,9.2,26.5,3.9,9.3,6.5,16.34,177.9,5.9
Thomas Robinson,LAL,34,11,0.518,13.2,14.3,16.7,16.6,27.2,21.8,16.33,27,0.9
Terrence Jones,NO,51,24.8,0.518,8.8,7.2,19.7,5.3,20,12.6,16.3,90.5,3
Derrick Rose,NY,47,32,0.517,18.5,10.3,26,3.8,9.3,6.6,16.27,118.4,3.9
Richaun Holmes,PHI,31,15.9,0.566,10.7,11.6,17.3,10.5,19,14.7,16.25,35,1.2
Trevor Booker,BKN,50,26.1,0.557,16.7,14.2,16.9,8.8,25.7,17.4,16.06,89,3
Tarik Black,LAL,44,16.4,0.56,10.1,12.4,15.7,15.1,22.1,18.5,16.06,58.6,2
Larry Nance Jr.,LAL,37,22.2,0.591,16.8,10.6,12.8,8.4,19,13.6,15.96,54.7,1.8
Danilo Gallinari,DEN,44,34.2,0.603,12.4,7.9,18.9,1.8,14.4,8,15.92,121.7,4.1
Nicolas Batum,CHA,52,34.7,0.539,26.8,11.6,21.5,2.3,19.8,11,15.92,145.9,4.9
Zaza Pachulia,GS,44,18.8,0.589,24.1,15.4,14.2,13.6,21.4,17.8,15.91,65.5,2.2
Will Barton,DEN,41,28.9,0.552,19.3,9.7,20.8,4.3,13.7,9,15.86,94.7,3.2
Jon Leuer,DET,50,26.9,0.587,14.5,7.5,16.5,5.5,18,11.6,15.84,87.1,2.9
Cristiano Felicio,CHI,46,15.5,0.587,12,9.4,12.2,14,19.7,16.8,15.79,45.6,1.5
